driverId,week,hours-logged,miles-logged
22,42,80,1100
29,9,64,3300
77,50,70,100
38,34,72,1300
67,26,77,3900
107,9,56,3200
99,27,65,300
106,46,60,1000
93,19,70,3000
105,16,66,900
73,2,64,500
87,36,55,1500
90,17,69,2300
95,38,72,2700
102,17,52,1400
75,45,68,1700
105,22,63,4000
15,31,56,1200
39,1,64,3600
23,37,67,3500
51,2,55,1300
12,37,76,1700
11,8,78,800
85,29,77,3100
81,47,74,2300
80,9,54,4000
14,10,64,1500
18,43,73,2100
108,9,58,700
71,7,64,2400
106,48,63,3500
32,49,78,3900
96,19,78,2800
23,10,51,400
100,9,62,900
70,36,75,4000
60,35,71,2100
24,38,58,1500
102,17,79,0
104,2,73,1800
84,33,75,1900
28,18,79,2700
81,24,60,600
35,16,67,2400
83,19,73,1500
74,19,68,0
47,20,52,900
52,17,55,3900
45,52,65,3700
53,1,70,2900
106,35,74,300
106,36,77,3700
82,23,52,2000
96,4,76,1400
82,21,53,600
45,17,60,2400
80,38,63,1700
65,5,55,2900
24,40,61,3700
32,40,74,3700
20,16,64,2700
27,19,52,600
13,23,58,700
47,45,54,3900
53,6,76,3000
102,41,55,400
100,43,79,2600
26,49,69,2900
96,15,78,1700
27,8,63,2500
48,37,77,100
14,29,74,400
47,25,62,400
24,28,71,2900
51,19,60,800
49,1,72,1000
59,19,51,2500
23,38,80,3400
89,41,53,2000
82,29,57,2700
51,37,56,3900
55,4,59,500
53,1,78,3400
88,33,53,2000
66,39,71,700
101,1,58,3600
76,44,51,3800
68,49,53,3200
92,43,66,3500
107,47,58,3600
55,9,54,3100
62,29,53,2300
52,6,56,3600
43,9,66,3900
66,30,67,0
58,42,57,3300
32,24,57,1100
38,25,66,1500
54,29,80,2500
105,37,73,2600
